,About,Date,Titles,Reviews,Label
10,AT&T Network Services,"Apr 29, 2019",AT&T Network Services are very reliable,"I utilize AT&T Network Services daily during responsibilities and job duties with Right Management. I have found the AT&T Network to be reliable and stable with virtually no interruptions of service or connectivity issues.  Whether I am hard-wired or utilizing a wireless connection, I can rest assured my  telecommunications will run smoothly, which allows me to provide the best service to my Clients.  

I am very pleased with my AT&T Network Services",positive
11,AT&T Network Services,"Apr 9, 2019","Gets the Job Done, Eventually","Overall, AT&T provides the network services that I need but their customer service majorly lacks. Throughout the years I have had many issues with getting different answers to the same questions and being passed around from one customer service representative to another. However, this is sometimes expected with large companies. ",positive
12,AT&T Network Services,"Apr 18, 2019",Great service!,"Fast, reliable service. I would recommend this product to anyone in need of network services. With AT&T, we were able to get up and running ASAP. ",positive
13,AT&T Network Services,"Apr 18, 2019",good quality service,quite stable service with minimal interruption.  generally good customer service. customer representatives are helpful and efficient and easy to to deal with.  very customer orientated ,positive
14,AT&T Network Services,"May 22, 2019",Good coverage area at most of the places ,"Good coverage area in most of the places throughout US. Some palces we do face netwrok coverage issue. ATT should be able to make  almost 100% coverage area .

International calling should be made cheaper 

Mobile plans prepaid and postpaid are very expensive. Should be made better prices
",positive
15,AT&T Network Services,"Apr 11, 2019",Implementation was smooth,"Satisfied with their service.  Our rep was knowledgeable and did what she said she would do. Billing however, has been more of a challenge due to their terms.",positive
16,AT&T Network Services,"Mar 1, 2019",MPLS - Global value added services ,Great uptime and value added services like leased equipment. Excellent support staff available when the business requires action not to mention global reach into Asia and India ,positive
17,AT&T Network Services,"Apr 9, 2019",Great provider!,We rarely have any problem with our AT&T service.  When we do have a problem AT&T is always quick to resolve the issue.,positive
18,AT&T Network Services,"Mar 13, 2019","Consistent network, Inconsistent hardware and software. ","Consistent network speed, inconsistent equipment and software. There always seems to be changes in their GUI and the process of IP passthrough.",positive
19,AT&T Virtual Private Network (AVPN) MPLS platform,"May 24, 2019",Pleased With Service....,Very good experience. we never face any issues. If we ever have any problem regarding network or anything related to AT&T(VPN) then customer service plays there roll well .,positive
20,AT&T Network Services,"Apr 15, 2019",Faster and easier response time.,"For my phone service, I do not get much service in East Texas. As for my internet, it is spotty and when I call reps to come out, they are never on time.",positive
21,AT&T Virtual Private Network (AVPN) MPLS platform,"Apr 29, 2019",AT&T Provides Excellent Network Services.,Service works very well once it is started. A great network to join without problem.AT&T also made it very easy to switch from our previous provider. ,positive
22,AT&T Network Services,"Mar 13, 2019","Implemention was successful, but communication could be better","Did not like when they chose to push updates through our systems.  Happened at inconvenient times.  When this would happen, the remote sites VPN boxes would have issues and they would be without service until an IT representative from our company would come onsite.",Negitive
23,AT&T Network Services,"Apr 9, 2019","Pricing is steep, but customer service is good",The pricing is steep compared to other vendors. The overall customer service is good; whenever we have needed technical support they have been more than helpful.,positive
24,AT&T Network Services,"Apr 23, 2019",I love At&T but connection can use some work.,"Internet connection is flaky. I've had At&T for a number of years but since starting, my connections have been problematic.",Negitive
25,AT&T Network Services,"Mar 21, 2019",Good network design needs more adaptibility for unique facility requirements,"Network system is well designed in theory, but implementation in our facility is tricky due to space limitations and competing resource interests. Planning for implementation could use a bit more latitude given our inherent limitations. ",positive
26,AT&T Network Services,"Mar 13, 2019",Excellent customer relations and services,I never have issues with services and it is always available during travel.   I travel frequently between business and personal and this service is always exceptional.,positive
27,AT&T Network Services,"Oct 24, 2018",Marvelous Service,At&t is one of the best business services we have had for a growing business as the one we have. They always arrive on time and their phone lines & numbers are exactly what we ask for.,positive
28,AT&T Network Services,"Sep 5, 2018",Went above and beyond my expectations,Extremely knowledgeable to quickly identify and solve any network related issues. Put tools into our network that gave us visibility into all aspects of our network. ,positive
29,AT&T Virtual Private Network (AVPN) MPLS platform,"Mar 14, 2019","Nothing about this product is good, and support is terrible.","AT&T support is beyond awful.  Please go with any other network provider.  The faster AT&T goes out of business, the better the industry will be.",Negitive
30,AT&T Network Services,"Apr 10, 2019","AT&T has great coverage, but tends to lose data at times","At&T overall is great, though signal and overall internet can get lost at times with a lot of areas without coverage",positive
31,AT&T Network Services,"May 2, 2019","Great performance, but where's the support?","Overall AT&T provides satisfactory network performance and reliability, however support is sometimes non-existent",Negitive
32,AT&T Network Services,"Apr 5, 2019",Good coverage,"Amazing. offers an attractively prepaid plan, and its network performance remains strong, firmly keeping this carrier in the upper rank of cellphone service providers.",positive
33,AT&T Network Services,"Dec 11, 2018",sometimes the internet connection is not good for cable.,"They provide an overall good service on the cell phone and cable service. Even sometime they have cable speed issue, but not too often. The people working in ATT store is nice and welcoming.",positive
34,AT&T Network Services,"Apr 14, 2019",Pretty good and stable internet service,"The internet service is very good, it is very stable and the bandwidth is adequate for the operation, but the support service is poor.",positive
35,AT&T Network Services,"Mar 13, 2019",Needs additional services/features,I am neither satisfied or dissatisfied currently...need more data...there is no way for me to accurately decide if my money has been well spent or not as of now,positive
36,AT&T Network Services,"Apr 12, 2019",Implementation slow but worth it,"Great speed once in place but slow coming to service area. Minimal problems after installation, adequate equipment and user friendly",positive
37,AT&T Network Services,"Apr 4, 2019",Innovative and still creating new and attractive ideas,The have been able to provide exceptional services. They have changed the way we work in the network services. They provide so many options that changes their competitive. ,positive
38,AT&T Network Services,"Apr 9, 2019",Solid service and pricing for company phone plans,We use AT&T for our company mobile phone plan.  The plan pricing is good and the service is good in the NYC area. ,positive
39,AT&T Network Services,"Mar 12, 2019",AT&T Provides Excellent Network Services,"AT&T is among the most popular in providers of network services for a reason - they have comprehensive service offerings, and they are as functional as they are comprehensive.",positive
40,AT&T Network Services,"Apr 16, 2019",Easy to use and work with,We have great speed an continuity with our services. We rarely have issues with network and this is so important in our offices.,positive
41,AT&T Network Services,"Apr 4, 2019",AT&T service,"Normally our managers use the service on a daily basis, the managers use their cells phone to connect with clients and colleagues all over the world.",positive
42,AT&T Network Services,"May 5, 2019",Servcies network AT&T.,"I have used  AT&T Network Services this product help some problem present in the business, We needed change the infrastructure to develop digital services for cloud, the speed and connectivity was better with this server after service implemented the red worked  fine and got solution whit the several problems. ",positive
43,AT&T Network Services,"Jun 26, 2019",AT&T best network service provider solutions ,Best network service provider who gives complete end to end access for the network coverage inside the organization ,positive
44,AT&T Network Services,"Apr 22, 2019",MY AT&T,"Great Experience with this service provider, Lots of good work still needed in near future to give more better service.",positive
45,AT&T Network Services,"Apr 22, 2019",AT&T REVIEW,"I'm happy with the service provider, they are giving  good network coverage and satisfactory services.",positive
46,AT&T Virtual Private Network (AVPN) MPLS platform,"May 21, 2018",We've Received Improvement in Performance over Verizon,We are happy on a global scale with our AVPN.  We reduced our WAN latency significantly moving to AT&T from Verizon MPLS.  Implementation is smooth and support is OK.  Support groups are not as customer focused as sales and engineering but the product reliability and performance is rock solid. ,positive
47,AT&T Network Services,"Apr 24, 2018",Great Customer Service,It was a smooth experience and the customer service was smart and very helpful. The product/services are great and we would recommend it others. ,positive
48,AT&T Virtual Private Network (AVPN) MPLS platform,"Feb 22, 2018", implementation is a nightmare,"Provisioning services take more than 2 weeks to get one link up, implementation was a nightmare.

We have a lot of problems with invoices and account management.

We have requested links termination since 2 years ago and we are still receiving invoices.",positive
49,AT&T Network Services,"Jan 31, 2018","Technically OK in Europe, but hard to deal with commercially",Technical services are OK and relatively stable but the supplier is slow to bring forward innovation and commercially change can be difficult,Negitive
50,AT&T Virtual Private Network (AVPN) MPLS platform,"Jan 29, 2018","Managed Service works very well, but cumbersome to process all orders and installations",Service works very well once it is installed.  Processing orders was very time consuming with some circuits taking very long to get in place.  Some of that is due to physical site locations.,positive
51,AT&T Network Services,"Jan 18, 2018",Very complex installation for a simple rollout,Lack of communication and understanding of installation steps.,Negitive
52,AT&T Network Services,"Dec 5, 2017",AT&T delivers as expected.,"Overall, the outcome was satisfactory.  There was a strong disconnect between national reps and local reps in terms of service delivery and expectations, though, that inhibited our ability to support a major business process.",positive
53,AT&T Network Services,"Nov 7, 2017",It is where today is in technology!,Works great fast and effiecient!,positive
54,AT&T Virtual Private Network (AVPN) MPLS platform,"Oct 5, 2017","AT&T are innovative, competitive and extremely customer focused","For a large multinational telco - AT&T are surprisingly nimble to react to fast-paced environment, the relationship management shown by the account team is outstanding.  

AT&T's drive for continual innovation makes them a perfect technology fit for our organisation ",positive
55,"AT&T Network Services, AT&T Virtual Private Network (AVPN) M","Oct 5, 2017",AT&T should cannibalize its traditional product before someone else does,"Overall experience is positive, on the strength of customer engagement and flexibility of service.
",positive
56,AT&T Network Services,"Nov 8, 2017",Implementation satisfactory,"Reliable solutions. However innivation lagging behind other vendors for regions outside of US e,g, agile network capability",Negitive
57,AT&T Virtual Private Network (AVPN) MPLS platform,"Oct 6, 2017",SD-Wan via AT&T is a home run!,They brought an outstanding solution that both decreased price and provided vastly superior features.,positive
58,"AT&T Network Services, AT&T Virtual Private Network (AVPN) M","Sep 20, 2017", Helps to reduce cost of existing services and maintain revenue though additional Services,engaged with business outcomes and constantly looking to reduce cost and add services,Negitive
59,AT&T Network Services,"Sep 22, 2017",ATT mpls is legit,"Been in network for the last 15 years, ATT always seems to ""me"" the easier of the ISP's to work with and get circuits on time.",Negitive
60,"AT&T Network Services, AT&T Virtual Private Network (AVPN) M","Dec 22, 2017",good suppport always lead good services,getting best support in services front and following proper SLA's.,positive
61,AT&T Virtual Private Network (AVPN) MPLS platform,"Jun 24, 2017","With any major implementation, you have to stay on top of the supplier","This was a technical refresh of a global network backbone.  AT&T's global presence, plus thier level of skill and dedication to my company, were deciding factors.",Negitive
62,AT&T Virtual Private Network (AVPN) MPLS platform,"Apr 26, 2017",After the sales team left the building. ,"I was very disapointed with the service and support that we received after the sales people closed the deal. Engineering, architecture, account management, and support were all sub par. Not what you would expect from a huge company and reputation like ATT's. ",positive
63,AT&T Virtual Private Network (AVPN) MPLS platform,"Apr 26, 2017",MPLS provisioning was poorly managed.,MPLS provisioning was delayed for two months for many reasons. This delayed has caused an impact on our business operational effectiveness.  Local account team and management do not have a sense of urgency and lack of customer focus.  The project was completed after escalation to the AT&T executive management team.,positive
64,AT&T Virtual Private Network (AVPN) MPLS platform,"Apr 18, 2017",AVPN solutions from AT&T met our needs ,AT&T AVPN solutions have provide our clinics and smaller facilities for remote access back to primary and secondary data centers and wide area networks solution..      the Cost  and network speeds are impressive.   we use data circuits at our facilities from this vendor and they are a great provider of  high speed and capacity for needs..,positive
65,AT&T Virtual Private Network (AVPN) MPLS platform,"Jun 29, 2017",easy implementation but late response,Not timely responsive,Negitive
66,AT&T Virtual Private Network (AVPN) MPLS platform,"Feb 24, 2017",AT&T MPLS Solution proves solid and reliable but the customer service has issues,The network is well established and solid in performance and uptime.  The major issue with the billing and interdepartmental communications with AT&T.,positive
67,AT&T Virtual Private Network (AVPN) MPLS platform,"May 10, 2017",AT&T Installed with ease,Very easy implmentation process very good overall,positive
68,AT&T Virtual Private Network (AVPN) MPLS platform,"Jan 17, 2017","ATT, I'd do it again","While I think the service is fine, the support is at times suspect. When we open a ticket it is generally acted upon quickly however when a solution is found the ticket is closed. There is no feedback as to what occurred or what was done to resolve the issue. ",positive
69,AT&T Virtual Private Network (AVPN) MPLS platform,"Dec 5, 2016",MPLS Deployment,Chosing a managed service was an excellent option.  It was not core capability of the infrastrcure team.,positive
70,AT&T Virtual Private Network (AVPN) MPLS platform,"Sep 20, 2016","High availability, good global reach but some frustrations on the commercial side","Very strong on overall reliability and incident management. Very poor on IMACs and overall technology conversion (EVPN to AVPN, for example). Frustrating on the contracting and some very prolonged commercial issues that drive internal cost (manage, follow-up, reconciliation, etc.).",Negitive
71,AT&T Virtual Private Network (AVPN) MPLS platform,"Sep 19, 2016",Collaboration led to flexible implementation.,AT&T in this latest engagement has improved in terms of flexibility and cost concessions.,positive
72,AT&T Virtual Private Network (AVPN) MPLS platform,"Jun 7, 2016",Implementation was effective but slow.,"AT&T has the technical capabilities. However, in my opinion your experience depends on both your account manager and assigned project manager. They do nothing quickly.",positive
73,AT&T Virtual Private Network (AVPN) MPLS platform,"Feb 18, 2016",Provisioning opportunities abound.,Good experience.,positive
74,AT&T Virtual Private Network (AVPN) MPLS platform,"Dec 9, 2015","Solid service, but needs better project management to implement.","The MPLS service is solid. The current account team is solid. The implementation team is not well versed in communication. Sources indicate European or Asian outsourcing which cause a communication delay going either direction. The project status for the first three migrations had to be requested throughout the project so far. I had to constantly ask for updates weekly and when dates changed, we did not know about it until I asked, plus the 24+ hour later delayed response. Once the circuits were brought up, the service is solid. Based on negations of cost and credit, we are able to overlook the slow to communicate issue while receiving faster pipes, at a reduced cost to the Opex budget.",positive
75,AT&T Virtual Private Network (AVPN) MPLS platform,"Dec 7, 2015","No technical challenges, back-office issues with contracts or consistent billing.","The service is functional and stable, ordering and billing are obtuse.",Negitive
76,AT&T Connect,"Jan 10, 2019",Conferencing tool within organisation,I have used this product for  several times in my organisation. this product is easy to use and very good option for conferencing within organisation.,positive
77,AT&T Connect,"Apr 18, 2019",AT&T Connect || Interactive presentation and collaborative tool,"AT&T Connect Service is an interactive presentation and collaborative tool which combines audio conferencing and data-sharing through the power of the internet.
It is an AT&T product which give users option to create meetings as host and also to join metting rooms as participants.",Negitive
78,AT&T Connect,"Oct 30, 2018",a decent product but didn't deliver what we needed,"Not bad but did not meet our needs. We had connection issues, dropped called, etc, moreso than with our current solution. Hopefully these issues will be improved over time and we can revisit this. ",positive
79,AT&T Connect,"Apr 25, 2019",Connects people across the globe,"I use the tool almost every day for testing and troubleshooting sessions across different departments, companies, and time zones. The screen share and built-in chat room have made it a lot easier to collaborate with all the attendees.",Negitive
80,AT&T Connect,"Nov 27, 2018","Easy to use, may improve certain features to be more user friendly",It serves the purpose of our general web meeting with people all around the world. The web sharing and phone quality are in general good. Sometimes the screen will be frozen (possibly due to network issue) so people have to re-share the screen. Audio by phone has better sound quality than using computer audio. More advanced white board drafting may be desired.,positive
81,AT&T Connect,"Oct 9, 2018",East to integrate and use and help in multiple languages,Voice quality is excellent. ability to connect from IP phones of office network as well as mobile phones. Price is littlebit on higher side. call drops are very less. support is available for multiple geographies and help in multiple languages.,positive
82,AT&T Connect,"Dec 24, 2018",Excellent App,"We use At&T regularly for the conference calls. Desktop sharing and recording we do regularly.
We use At&T regularly for the conference calls. Desktop sharing and recording we do regularly.",Negitive
83,AT&T Connect,"Feb 12, 2019",Seamless Connection,Our clients were located at north america so we used AT&T for the our service deliverable and it's milestone review. It worked great to connect with my clients and for the internal. ,positive
84,AT&T Connect,"Nov 22, 2018",Needs to improve to match up with newer tools in the market,"Overall experience is good.Have been using it for several years, however of late facing call drops and difficulty in connecting at times.",Negitive
85,AT&T Connect,"Mar 27, 2019",Mobility with AT&T Connect,With AT&T Connect on your mobile device people can easily attend their meetings from virtually anywhere  anytime. ,positive
86,AT&T Connect,"Dec 27, 2018",The AT&T Connect implementation of the service went well,Decent service and good rates. Great communications system for conferences. Normal deployment results.,positive
87,AT&T Connect,"Oct 30, 2018","Easy to use, zero downtime","Deployment was very easy from the user point of view.  Simply open the software, and connect; it just works.",positive
88,AT&T Connect,"May 12, 2018",Best Meeting Tool Available in The Market,Excellent product for conference calls. Good for working from home. Free outgoing for users. The quality is very good for calls. Call drop rate is very less.,positive
89,AT&T Connect,"Jan 25, 2018",Well planned implementation with consideration paid for available resources,The project lead from AT&T was knowledgeable and was able to provide implementation best practices.  They also had experience working with clients that have limited staff availability.  The timing of the process was considerate of our resources.,positive
90,AT&T Connect,"Jan 18, 2018",Great UI that provides global connectivity ,AT&T has a great service that brings cross functional team together using a great UI,positive
91,AT&T Connect,"Jan 18, 2018","Easy implementation with strong support, but some minor technology issues","Strong customer service is all phases of implementation.  Some minor technology issues occurred, but were resolved fairly quickly.",positive
92,AT&T Connect,"Jan 18, 2018",Better support and reliability,"Smooth transition all good so far, better realiabily then past vendors",positive
93,AT&T Connect,"Jan 20, 2018",Toll-free Numbers Available but not working always,"AT&T lets conference calls easily handeled. Sometimes, the toll-free numbers from respective countries didn't work and hence users had to used toll-ed dail-in numbers which is not fair. These situtations can be avioaded for hassle-free calls.",positive
94,AT&T Connect,"Jan 5, 2018",ATTT Connect Meeting review,Useful but sometimes problems with flash,positive
95,AT&T Connect,"Nov 7, 2017","Implementation was difficult, but overall worth the time and investment",ATT did a very good job overall and we were pleased with the outcome,positive
96,AT&T Connect,"Jan 30, 2018","Usage is easy, extended use needs improvement.",Great communications system for meetings and conferences.,positive
97,AT&T Connect,"Nov 9, 2017",Awesome service for webex meetings ,the web conferencing service is very good with excellent call quality ,positive
98,AT&T Connect,"Nov 15, 2017","works well, get what you expect","has worked well for our company, does what we expected",Negitive
99,AT&T Connect,"Nov 21, 2017",AT&T a Customer Friendly Connectivity Provider,AT&T Teleconference has been good partner for our connectivity needs. The services are up to the mark even after so many years. We do face problems time to time with noise  on the line but they are quick to resolve the issues.,positive
100,AT&T Connect,"Sep 22, 2017",Ease of use of the web and phone conferencing is a great plus for this product.,The meeting software has worked well for our Creative and Travel teams.  Making phone and web conferencing easier.,positive
101,AT&T Connect,"Nov 7, 2017","Implementation and changeover was simple, and problems were solved quickly and efficiently","Good rates, decent service, and good customer support for the odd cases that went outside normal deployment results. ",positive
102,AT&T Connect,"May 23, 2017",AT&T Connect - A Reliable Constant in a Changing Landscape,AT&T is a stable and reliable production for the most part.  Some call drops have been reported and call quality varies at times.  The ability to load the APP to our cell phone and track meetings was most helpful for meetings outside my work hours.  It is easy to use and flexible.  AT&T pricing is negotiable so you can pay by the services you use or pay a flat fee.,positive
103,AT&T Connect,"Mar 9, 2017",AT & T Connect make meetings difficult ,AT & T Connect is a very bad product.  They update the platform frequently and folks are constantly having to update the software before launching a meeting.   Very dislike by the entire organization.  Just learned that they are moving to WebEx and abandoing Connect. ,Negitive
104,AT&T Connect,"Mar 14, 2017","It was easy to implement , but user accpetance took a while..","On the whole, it was a good experience even though there were certain road blocks",positive
105,AT&T Connect,"Jan 19, 2017",AT&T Connect Experience,"The implementation of the service went well.  Since then, many of our users find that AT&T Connect is cumbersome and not always reliable.  Since then, AT&T has partnered with Cisco on their WebEx platform.  We are in the process of migrating away from Connect to WebEx.",positive
106,AT&T Connect,"Mar 2, 2017",Recruiting business needs met,Ease of use is good.  ,positive
107,AT&T Connect,"Feb 22, 2017",Not for us,Terrible support and clunky interface.  Switched to Google after 2 months.,Negitive
108,AT&T Connect,"Sep 21, 2016",Overall tool performs well.,SLAs do not match the negative experience or business disruption.,Negitive
109,AT&T Connect,"Dec 20, 2016",Works in Global Organization ,"Product works well in a global organization, good voice clarity, abvility to screen share ",positive
110,AT&T Connect,"Oct 25, 2016",Looks great but needs better tech support,"Very difficult to get a hold of someone to edit account information. Help tickets take a long time. We also weren't communicated when new versions would be released in advance, so we had several surprises.",Negitive
111,AT&T Connect,"Dec 2, 2016",Worked out of box.,All is going well,Negitive
112,AT&T Connect,"May 11, 2016",Quick deployment and easy to use.,Product meets organization needs.,Negitive
